ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.0077460957093185,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.1309100849139455,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0001700254240331045,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00021573691271470352,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,1.0941929454721944e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5389765004401998,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5885399167223155,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-6.585068053888143e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.08072837306684733,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-6.62964632114349e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4129698147260177,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.02027041363094928,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,1.3994072495693288e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.38240702690738737,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3973060970584341,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.1306125957260338,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00020608038995484357,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00032616118635542257,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.8542851678702306e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.19995627145594996,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.2636916083242906,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6191284356463285,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.3233769213714126e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00020617360373664795,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.655566848579042e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00037855659180596746,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7448189217987891,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0648785070731841,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.1441663667081592,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0875795336038836,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00029101589332070077,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.31045825566120855,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.22787814761768255,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.015963423828708e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0004293990757646693,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00032235002552027936,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.5433736578751578e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.016980332213415883,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.34799424839670245,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5883171167915384,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.03576657347152845,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.000255518621954387,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010442186471526504,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.48359804222980696,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6656317307336261,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6807902412442843,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003742757325713164,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00016564462578316785,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.45385519689846654,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.28280610113774607,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7814223826545861,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.15631578904171506,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6173605568663354,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.1185269603929413e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0028196668381195167,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002954646052222287,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.20619592193014902,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00011428418241310467,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.260391437978488,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,5.82512530493684e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.45014301956714853,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00010948615263361994,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.2056997229280146,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002494655710039151,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-5.372050580265686e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.380390781624234,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.358116400459777,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.752526082117311,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4971676789995685,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3264580488183324,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002209620007933566,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-9.852284689326751e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.222867663037036e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7016829858569718,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5848838536697609,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.02304238820813298,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.07546689001041029,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3344649320397701,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7471559584671474,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00038382394426594857,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6669627374940894,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00014067611497070587,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00019023077005386746,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.017092312048357927,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.2655817327538108,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.06511599128499368,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4608457141614226,True
