StrainID,Plate,Row,Column,Plane,Timepoint,score,is_inlier
DMA,1,13,1,1,0,-6.812360764843484e-05,True
DMA,1,13,1,1,0,0.0001394788346419512,False
DMA,1,13,1,1,0,0.0003113291026046877,False
DMA,1,13,1,1,0,9.436605182315538e-05,False
DMA,1,13,1,1,0,-0.000496133872750687,True
DMA,1,13,1,1,0,-1.0808999170233702e-05,True
DMA,1,13,1,1,0,0.00011454450709853792,False
DMA,1,13,1,1,0,-0.00047141929412417016,True
DMA,1,13,1,1,0,0.00043210067979881917,False
TSA,1,5,1,1,0,0.10677638837702114,False
TSA,1,5,1,1,0,0.10415874977420336,False
TSA,1,5,1,1,0,0.07635266044017464,False
TSA,1,5,1,1,0,0.10687869137952828,False
TSA,1,5,1,1,0,0.1057039854240466,False
TSA,1,5,1,1,0,0.10357653338123944,False
TSA,1,5,1,1,0,0.10679741086079698,False
TSA,1,5,1,1,0,0.10728658305155134,False
TSA,1,5,1,1,0,0.0719875980813352,False
TSA,1,5,1,1,0,0.10679886718919655,False
TSA,1,5,1,1,0,0.09901666952732338,False
TSA,1,5,1,1,0,0.1058634582259333,False
TSA,1,5,1,1,0,0.10648394086005487,False
TSA,1,5,1,1,0,0.05164806573028831,False
TSA,1,5,1,1,0,0.1072894689859226,False
TSA,1,5,1,1,0,0.10426712377518155,False
TSA,1,5,1,1,0,0.10702563439767773,False
TSA,1,5,1,1,0,0.08528494526247779,False
TSA,1,5,1,1,0,0.10619085839430496,False
TSA,1,5,1,1,0,0.10708064970982681,False
TSA,1,5,1,1,0,0.09878977264445456,False
TSA,1,5,1,1,0,0.0996664503376782,False
TSA,1,5,1,1,0,0.04938671319615731,False
TSA,1,5,1,1,0,0.08152418248680351,False
TSA,1,5,1,1,0,0.10704918661877436,False
TSA,1,5,1,1,0,0.0820045192773304,False
TSA,1,5,1,1,0,0.10628474184509842,False
TSA,1,5,1,1,0,0.10540445519036022,False
TSA,1,5,1,1,0,0.10710387801481272,False
TSA,1,5,1,1,0,0.09330758413941413,False
TSA,1,5,1,1,0,0.084056333776578,False
TSA,1,5,1,1,0,0.0733682872144662,False
TSA,1,5,1,1,0,0.10623756477532725,False
TSA,1,5,1,1,0,0.1071012883838255,False
TSA,1,5,1,1,0,0.08806193610872305,False
TSA,1,5,1,1,0,0.07895805493869357,False
TSA,1,5,1,1,0,0.10728355194415512,False
TSA,1,5,1,1,0,0.10568259403313447,False
TSA,1,5,1,1,0,0.10687185902793349,False
TSA,1,5,1,1,0,0.10549711979596754,False
TSA,1,5,1,1,0,0.08691791215252892,False
TSA,1,5,1,1,0,0.10724558982735984,False
TSA,1,5,1,1,0,0.09483192929927162,False
