ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00017409041547164494,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00014590759193733316,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.7963932281539474e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.06577393492969971,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00011189538802730548,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00027934974708807014,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00036495110925352514,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.145544675706607e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.927811999932199e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-2.294205137515215e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.06104256302003533,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0001613412725152974,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00034839437894851333,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.540804621846477e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002547324633055126,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.216492189315084e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00019045751879886996,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003068049199574374,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.1179360805635419e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.77988544082164e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0004199780386314744,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.574822331059435e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00018802865536368674,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002864622301614328,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00011287368097870343,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.402310259054131e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002562055125532592,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0002117718210537245,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0004463026172452089,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.4644986968822575e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,5.092841462778219e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.111734271937783e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.296107311914989e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00024288734933125555,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00041001274469690263,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.169143199730165e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0001164580654477998,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.642560228101393e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-8.253328497745405e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-6.24998042797753e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005277366935424188,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005365195011036716,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0331381212445703,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002595460905468472,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0001097933631035164,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.014586559787140574,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,5.860330457754803e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010311450658162524,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00020836419753197943,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0005642030235814555,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0006043603551977861,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010502966793154989,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.563515178362178e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010246060366123078,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0002130286772050738,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.378110425109049e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0001999127063225803,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.439763887967296e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00019712518984005278,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010359163299578089,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003272765143651213,True
