ORF,Name,Allele,StrainID,Plate,Row,Column,Time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
YOR202W,HIS3,his3,tsa1,1,1,1,6,17.344452094199397,1.4312310850223526,-2.216024852769944,0.8747594792083189,-1.4674411420694407,4.37689759749649,0.8863296897316997,2.732729394206285,1.5205844123470804,2.1606143412859837,-1.7444455618558665,-0.9063386925590133,-0.17628171927827085,2.211007016537592,-0.08088916837699311,-0.555396328290674,-4.744936137413384,3.256987812561388,0.03494171010522584,0.11171373860163747,0.14729587145528028,-0.32670202824073225,-0.41170932542086586,-0.3166151935681325,0.27477768324725066,0.9879687007927351,1.5838608411091084,0.5614849026659845,0.4262497645836383,-1.01535677962985,1.437239260434799,2.179094241723603,1.1412349127581938,-1.2789633589718328,1.423291823992388,-0.09873532979096997,-0.20328307576831683,0.43109483434406076,-1.9674095100648263,0.7978841323911205,-2.0355258424242084,-1.7322520342106884
YOR202W,HIS3,his3,tsa1,1,1,1,6,22.2703730146699,-10.567480786077862,4.02181736836761,-4.194112764115588,4.091475334014708,1.5001559367640422,5.416799087801583,-2.890259379612185,0.8644783853585637,4.601112837080084,0.7130770148711367,3.3341298778169266,-2.3876381166713285,-0.40093065704980313,1.0680594231485971,-0.25450083057807515,0.09936284088872727,1.948250034312823,-0.3578726744095968,-1.6096170487701753,-3.598138616287839,1.2385194121787988,0.6977152828693935,-0.9827941614822504,1.679983351227766,0.7441255503197117,-0.45046477424018905,0.9582578443061625,-0.04832172792885614,-1.3914075735601301,-1.6242096747371317,0.2393975473692449,0.8260362480948276,1.632308298338386,-0.8892669183268165,0.18237517749101229,1.7299335359453545,-2.01366342208156,-2.7195576380375033,2.301394894929862,0.2446408811855516,-1.7301902500794062
YOR202W,HIS3,his3,tsa1,1,1,1,6,23.509072041426116,6.757907847041939,0.44805988764216287,3.628702299023762,11.020697965861402,-3.2834755773800333,3.9822971890600027,-3.610633744167046,0.641036703041703,-2.9164368767278934,0.42980165813190974,-1.050270580967597,-4.855829595799393,-2.390591075882255,-1.6573990608935003,0.551028496970235,-2.072138273098302,-1.4396165717578489,1.0965912993964548,-0.3797842561082268,0.8576039140221973,2.0491575251646754,-0.5787175560479009,-3.804625494969015,2.4067614706330693,0.27748072736646945,-3.0334600773773026,-1.2953680812087676,-2.539370654334463,-2.5492715938405457,-1.4203077572431035,-2.7676859541635075,-0.41373321885956726,-2.2449988386179385,-0.21855301111330694,-1.5053349538266128,0.7697232651941336,0.31555367507368604,-0.12849295128540383,1.3042785245986086,-1.1719207488546086,-1.7298350791675237
YOR202W,HIS3,his3,tsa1,1,1,1,6,11.222461251849825,1.8342351471282867,0.6139338444705493,3.052781360269402,-2.3446326615381117,5.432336803723423,-1.2862736333537879,3.912700640390278,0.6095932598374119,1.598552964689575,-2.9113052199913527,0.3756952906410255,-0.8729957690282654,1.2185978618026125,-0.45518574362970055,-1.2148631105237078,0.373210784994648,2.8278850738661503,0.3520549058486274,1.7571946651662282,1.9602467351834632,0.3859912904856426,0.203833778750442,0.4191763027873071,-0.3232277840714974,-0.07623083963650579,1.456178258690541,1.3358389656964185,0.5089025859614417,-0.9294968438970604,0.26840373883157664,1.7991821618874404,0.03327941514118504,0.6355261803423617,1.0068903837957466,-0.03709769100642531,-0.7399165366400535,-0.432899852228007,-1.3405600552308115,-0.4216814101974744,-0.32971948642059923,-1.733074357061456
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.7657108719930577,-8.05319434389474,-9.817913607748997,7.799300584694722,-2.590070058040695,-4.415377860002107,-4.666212149581011,-1.5308846811333443,-2.1913416174603397,-1.0781378940838364,4.031171720088769,-1.3590056340669192,2.3506713410279816,-3.912977599974005,5.217280187298992,-5.470427244458464,4.020126915923673,4.32419691486737,8.49970329246199,-0.8371855400837518,-4.566726390380882,-1.628215223512183,-4.316597209323137,-0.6640914593610506,-0.6009066943204909,-0.7583814543447178,-0.18433466523782457,5.600633563427389,0.9488391702579573,0.008643635884863943,-1.4154425148417809,1.1549662894080754,0.20757602617688486,3.1217187516999783,-0.5041369984050162,0.4980942024454911,3.2487401368787503,4.562241577869075,-3.4369088542069552,2.9731451864524465,-0.04936981722432188,-1.7361110352876847
YOR202W,HIS3,his3,tsa1,1,1,1,6,14.485002220646795,2.145288342275739,1.260169952493421,3.16765287299055,-0.09160612461448103,3.868004388622747,-1.4636886822173667,4.149731044402188,1.7430789271128282,1.663249973940356,-1.6382273752702532,0.04982059391893545,1.3295406626141957,0.17818753418087432,1.0470861120116093,0.32463030051227554,-0.7908510210374178,1.835963437285421,0.23741839949775756,0.3002410293518869,1.9517888262465064,-0.5269913875817123,-0.6782239234722136,1.6008928561178157,0.8414048913522725,0.13672011317410376,1.6414742002836467,0.23327813971384515,-0.4467012576648869,0.5362177753839839,0.5829163304574547,-1.8980903027613947,0.4753431550433831,-0.15974006510334393,1.890734754739484,1.2296547922970822,1.663983152800599,1.6132359101425409,0.20609071360840758,-0.2464572445415264,-1.498153788827545,-1.7349688736604296
YOR202W,HIS3,his3,tsa1,1,1,1,6,17.146710373819104,2.763266200477374,-3.4317793604921456,1.3035833473434144,2.725858249011856,-1.0400325297615562,-2.6137083878578475,2.1290746523243698,2.639559019991151,-1.7033838710550502,2.5215061526585965,-1.0712542132968266,-0.18964773377562327,-3.7630403566380153,-0.18070794821655542,-1.5224750236369833,-0.046687083156887965,1.0243005460696024,0.7978343297815313,2.2356217512895844,-1.7777012501667915,-1.409816858667265,1.0025666279790975,0.4031844458957805,1.5612695871741962,1.3090204830311445,0.6765022554495532,2.808083883220358,-1.0811190054733062,-1.1077789509049418,-3.0193221259687077,-1.0252937224730947,0.04253881734635878,-0.023993992822610055,-1.9128689092923483,0.9865380577206115,2.9373075801485102,1.1049438077444247,-2.3134801207752838,2.2618815206148035,0.015174403658521185,-1.733448617235834
YOR202W,HIS3,his3,tsa1,1,1,1,6,22.522497522630765,0.5177065864284225,-1.1190202816550376,0.8347251676322489,6.961848653054787,-1.4178584315021248,-1.6661894895114577,1.3728766413470495,-0.24469788625540595,-2.5855522919818066,2.192607954999313,-1.3097467594277128,-1.7478485013960101,-0.21869205139748144,3.4076581551169673,0.7724472270252094,2.4166812484034326,3.5574827828341244,1.3852539349384339,-2.357629967330959,-0.3630691411913349,-0.9631060578009167,0.4197796848080924,0.40796550194044623,1.803955832315097,-1.5325840284940622,-2.928710370207426,0.6102231355996358,-0.22892252553407644,0.9978596317957906,-1.0942101909903164,-0.10951963896735006,-1.2022979976713994,1.4744724425385904,0.7078873606760518,-1.6696159722452169,3.296434092129717,-0.30918073413939207,-0.11392609594741221,0.397242468652082,-0.047502184084730836,-1.7339979485559542
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.819221061706804,-7.110748965961285,2.9317872266878546,4.792089676860184,-1.437338479915183,-2.3352701939345715,2.6677161423717504,3.0123063095808464,0.42197894135761604,0.3993465102868158,-0.6894151516381112,0.9490784223313269,-1.6847972058721328,0.036429318614567364,-1.3002529996683625,-0.21767357511339558,0.5846585073142595,2.2600821500974813,0.8509174883734009,2.170557754066249,-1.395271416532991,1.7207066801884132,2.2886835917946535,0.3364670997564987,0.5320426287809743,0.1869087930767092,0.78531209019993,-0.1810432539334778,-0.5329906244575595,-0.4564812248996034,-0.4850046221410012,2.081750170268794,1.8861184736899157,1.3411757482292423,-2.0101874744226893,1.495084263575229,1.9920488169946782,1.1274780115185987,-0.9714093803844173,0.38523817911030245,-0.8189594467344209,-1.7316741480988687
YOR202W,HIS3,his3,tsa1,1,1,1,6,20.070162701739985,-3.968821735675337,-2.0464027602762607,-3.8565861036443723,3.0585191666724976,1.404014219393897,0.4862329361205464,-0.4787502323078585,3.8247624794388417,3.075625342231585,5.411894973524888,-2.6720511079535356,-1.199623284156002,-1.9029256910552315,1.9644494996305084,-2.630318188137906,-2.6043218966866255,1.424718543174477,1.1891453450553848,-0.9189687453561066,-1.921910771118275,-3.4909844623961552,-0.30000651056431793,-0.8576850326284046,-3.0119264839276605,2.058379399622427,0.1008847305503614,1.9563660844632371,-0.24260913505198367,-3.147610347116758,-0.2804138854299717,1.005647692488985,-0.8962382197927263,-1.5649268066023103,0.7406576765529818,0.9462203300232941,1.150092828995567,-0.4109865145376169,-2.9028119349314183,1.3845448258179984,-1.0124923321734134,-1.733618487252203
